Id,Name,Category,ChestMain,DeltoidAnterior,DeltoidLateral,DeltoidPosterior,Biceps,Triceps,Forearms,Lats,Rhomboids,LowerBack,Abs,CoreStabilizers,Quadriceps,Hamstrings,Glutes,Calves
1012,assisted parallel close grip pull-up,back,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1013,assisted prone hamstring,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.4,0.0
1014,assisted pull-up,back,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1015,assisted standing triceps extension (with towel),upper arms,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1016,assisted triceps dip (kneeling),upper arms,0.2,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
1017,balance board,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3
1018,barbell pullover to press,back,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019,barbell alternate biceps curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1020,barbell bench front squat,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.6,0.9,0.3,0.4,0.0
1021,barbell bench press,chest,1.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1022,barbell bench squat,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.9,0.3,0.6,0.0
1023,barbell bent over row,back,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.7,0.6,0.4,0.0,0.3,0.0,0.0,0.0,0.0
1024,barbell clean and press,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.7,0.3,0.5,0.2
1025,barbell clean-grip front squat,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.6,0.9,0.3,0.4,0.0
1026,barbell close-grip bench press,upper arms,0.5,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1027,barbell curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1028,barbell deadlift,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,0.6,0.4,0.6,0.7,0.0
1029,barbell decline bench press,chest,1.0,0.15,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1030,barbell decline bent arm pullover,back,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1031,barbell decline close grip to skull press,upper arms,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1032,barbell decline wide-grip press,chest,0.8,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1033,barbell decline wide-grip pullover,back,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1034,barbell drag curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1035,barbell front chest squat,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.6,0.9,0.3,0.4,0.0
1036,barbell front raise and pullover,chest,0.5,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1037,barbell front raise,shoulders,0.1,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1038,barbell front squat,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.6,0.9,0.3,0.4,0.0
1039,barbell full squat,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.9,0.3,0.6,0.0
1040,barbell good morning,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.6,0.5,0.0
1041,barbell guillotine bench press,chest,1.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1042,barbell hack squat,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.9,0.1,0.3,0.0
1043,barbell incline bench press,chest,0.9,0.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1044,barbell incline reverse-grip press,upper arms,0.6,0.0,0.0,0.0,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1045,barbell incline row,back,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1046,barbell incline shoulder raise,chest,0.8,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1047,barbell jefferson squat,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.9,0.3,0.6,0.0
1048,barbell jm bench press,upper arms,0.5,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1049,barbell jump squat,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.8,0.3,0.7,0.5
1050,barbell lunge,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.4,0.7,0.0
1051,barbell lying close-grip press,upper arms,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1052,barbell lying close-grip triceps extension,upper arms,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1053,barbell lying extension,upper arms,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1054,barbell lying lifting (on hip),upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.4,0.0
1055,barbell lying preacher curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1056,barbell lying triceps extension skull crusher,upper arms,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1057,barbell lying triceps extension,upper arms,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1058,barbell narrow stance squat,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.9,0.3,0.6,0.0
1059,barbell one arm bent over row,back,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.7,0.6,0.4,0.0,0.4,0.0,0.0,0.0,0.0
1060,barbell one arm floor press,upper arms,0.5,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1061,barbell one arm side deadlift,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,0.6,0.4,0.6,0.7,0.0
1062,barbell one arm snatch,shoulders,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1063,barbell one leg squat,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6,1.0,0.3,0.6,0.0
1064,barbell overhead squat,upper legs,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.7,0.9,0.3,0.6,0.0
1065,barbell preacher curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066,barbell press sit-up,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.3,0.0,0.0,0.0
1067,barbell prone incline curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1068,barbell pullover,back,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1069,barbell rack pull,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.4,0.0
1070,barbell rear delt raise,shoulders,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1071,barbell rear delt row,shoulders,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1072,barbell rear lunge v. 2,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.4,0.7,0.0
1073,barbell rear lunge,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.4,0.7,0.0
1074,barbell reverse wrist curl v. 2,lower arms,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1075,barbell reverse curl,upper arms,0.0,0.0,0.0,0.0,0.5,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1076,barbell reverse preacher curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1077,barbell reverse wrist curl,lower arms,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1078,barbell rollerout from bench,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.7,1.0,0.0,0.0,0.0,0.0
1079,barbell rollerout,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.7,1.0,0.0,0.0,0.0,0.0
1080,barbell romanian deadlift,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.5,0.0,0.6,0.1,0.9,0.5,0.0
1081,barbell seated behind head military press,shoulders,0.0,0.5,0.5,0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
1082,barbell seated bradford rocky press,shoulders,0.0,0.6,0.5,0.3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1083,barbell seated calf raise,lower legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1084,barbell seated close-grip concentration curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1085,barbell seated good morning,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.6,0.5,0.0
1086,barbell seated overhead press,shoulders,0.0,0.8,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
1087,barbell seated overhead triceps extension,upper arms,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1088,barbell seated twist,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.5,0.0,0.0,0.0,0.0
1089,barbell shrug,back,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1090,barbell side bent v. 2,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.4,0.0,0.0,0.0,0.0
1091,barbell side split squat v. 2,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.8,0.3,0.6,0.0
1092,barbell side split squat,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.8,0.3,0.6,0.0
1093,barbell single leg split squat,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.8,0.3,0.6,0.0
1094,barbell skier,shoulders,0.0,0.0,0.3,0.5,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0
1095,barbell speed squat,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.9,0.3,0.6,0.0
1096,barbell squat (on knees),upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.9,0.3,0.6,0.0
1097,barbell standing ab rollerout,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.7,1.0,0.0,0.0,0.0,0.0
1098,barbell standing back wrist curl,lower arms,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1099,barbell standing bradford press,shoulders,0.0,0.6,0.5,0.3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,barbell standing close grip curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1101,barbell standing front raise over head,shoulders,0.1,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1102,barbell standing leg calf raise,lower legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1103,barbell standing overhead triceps extension,upper arms,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1104,barbell standing reverse grip curl,upper arms,0.0,0.0,0.0,0.0,0.5,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1105,barbell standing rocking leg calf raise,lower legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1106,barbell standing twist,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.5,0.0,0.0,0.0,0.0
1107,barbell standing wide-grip curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1108,barbell step-up,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,0.2,0.7,0.2
1109,barbell stiff leg good morning,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.6,0.5,0.0
1110,barbell straight leg deadlift,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.5,0.0,0.6,0.1,0.9,0.5,0.0
1111,barbell sumo deadlift,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.6,0.6,0.4,0.8,0.0
1112,barbell reverse grip bent over row,back,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.7,0.6,0.4,0.0,0.3,0.0,0.0,0.0,0.0
1113,barbell upright row v. 2,shoulders,0.0,0.3,0.8,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1114,barbell upright row,shoulders,0.0,0.3,0.8,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1115,barbell upright row v. 3,shoulders,0.0,0.3,0.8,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1116,barbell wide bench press,chest,1.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,barbell wide-grip upright row,shoulders,0.0,0.3,0.8,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1118,barbell wide squat,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.7,0.3,0.7,0.0
1119,barbell wrist curl v. 2,lower arms,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1120,barbell wrist curl,lower arms,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1121,barbell zercher squat,upper legs,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.8,0.3,0.5,0.0
1122,battling ropes,shoulders,0.0,0.4,0.3,0.2,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
1123,bench dip (knees bent),upper arms,0.15,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
1124,bench hip extension,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.8,0.0
1125,body-up,upper arms,0.4,0.3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
1126,bottoms-up,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.3,0.0,0.0,0.0
1127,biceps narrow pull-ups,upper arms,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1128,biceps pull-up,upper arms,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1129,cable alternate shoulder press,shoulders,0.0,0.8,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
1130,cable alternate triceps extension,upper arms,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1131,cable bar lateral pulldown,back,0.0,0.0,0.0,0.2,0.1,0.3,0.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1132,cable bench press,chest,1.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1133,cable concentration extension (on knee),upper arms,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1134,cable cross-over lateral pulldown,back,0.0,0.0,0.0,0.2,0.1,0.3,0.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1135,cable cross-over reverse fly,shoulders,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1136,cable cross-over variation,chest,0.8,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1137,cable deadlift,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,0.6,0.4,0.6,0.7,0.0
1138,cable decline fly,chest,1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1139,cable decline seated wide-grip row,back,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0.9,0.4,0.15,0.0,0.15,0.0,0.0,0.0,0.0
1140,cable floor seated wide-grip row,back,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0.9,0.4,0.15,0.0,0.15,0.0,0.0,0.0,0.0
1141,cable forward raise,shoulders,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1142,cable front raise,shoulders,0.1,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1143,cable front shoulder raise,shoulders,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1144,cable hammer curl (with rope),upper arms,0.0,0.0,0.0,0.0,0.7,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1145,cable high row (kneeling),back,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.7,0.15,0.0,0.15,0.0,0.0,0.0,0.0
1146,cable hip adduction,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0
1147,cable incline bench press,chest,0.9,0.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1148,cable incline fly (on stability ball),chest,0.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1149,cable incline fly,chest,0.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150,cable incline pushdown,back,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1151,cable incline triceps extension,upper arms,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1152,cable judo flip,waist,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.4,0.7,0.6,0.0,0.0,0.0,0.0
1153,cable kneeling crunch,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0
1154,cable kneeling triceps extension,upper arms,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1196,cable side bend,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.4,0.0,0.0,0.0,0.0
1155,cable lateral pulldown (with rope attachment),back,0.0,0.0,0.0,0.2,0.1,0.3,0.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1156,cable lateral raise,shoulders,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1157,cable low fly,chest,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1158,cable low seated row,back,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.7,0.6,0.15,0.0,0.15,0.0,0.0,0.0,0.0
1159,cable lying close-grip curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1160,cable lying extension pullover (with rope attachment),back,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1161,cable lying fly,chest,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1162,cable lying triceps extension v. 2,upper arms,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1163,cable middle fly,chest,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1164,cable one arm bent over row,back,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.7,0.6,0.15,0.0,0.4,0.0,0.0,0.0,0.0
1165,cable one arm curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1166,cable one arm lateral bent-over,chest,0.8,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1167,cable one arm lateral raise,shoulders,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1168,cable one arm straight back high row (kneeling),back,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.7,0.15,0.0,0.4,0.0,0.0,0.0,0.0
